id,name,businessUnit,department,owner,target,actual,status,objectiveContribution,type,objective,quarterlyPerformance.q1,quarterlyPerformance.q2,quarterlyPerformance.q3,quarterlyPerformance.q4,benchmark
kpi52,Customer Satisfaction - blended,Asset Management,Asset Management,,83,84,<= 10% Deviation,,Core Measures,Advance Dubai,97.63436456,77.91090422,71.32229406,74.55818133,83.5
kpi53,Collections,Real Estate,Real Estate,,8300000000,5798862598,>= Target,,Core Measures,Optimize Risks,71.57149937,77.57223221,80.1438953,79.02043217,7049431299
kpi54,EBITDA,N/A,N/A,,1388649000,1230183000,>= Target,,Core Measures,Misaligned Initiatives,95.81645964,72.21212356,90.18430372,76.74869835,1309416000
kpi55,Distributions from investments,N/A,N/A,,1053523000,1277457000,> 10% Deviation,,Core Measures,Misaligned Initiatives,75.68779918,84.73388726,99.00129046,73.05498897,1165490000
kpi56,Revenue from Jumeirah.com direct bookings,Jumeirah,Jumeirah,,19,21,<= 10% Deviation,,Core Measures,Maximize Earnings,72.69568482,91.01057692,74.59302192,79.87230165,20
kpi57,EBITDA,Ejadah,Ejadah,,36924000,31600000,>= Target,,Core Measures,Maximize Earnings,88.84265513,90.01851156,71.20407654,90.90172509,34262000
kpi58,Receivables > 90 days as a % of revenue,Ejadah,Ejadah,,3.79,3,> 10% Deviation,,Core Measures,Optimize Risks,92.5794323,97.10640532,95.91850348,98.17534838,3.395
kpi59,EBITDA,Entertainment,Entertainment,,521060346,519161385,>= Target,,Core Measures,Maximize Earnings,89.08878332,83.36955658,89.24688845,93.60952888,520110865.5
kpi60,DPR EBITDA,Entertainment,Entertainment,,35909307,44952397,> 10% Deviation,,Core Measures,Maximize Earnings,96.53094793,94.14419792,94.24438609,95.70876176,40430852
kpi61,ROE,Entertainment,Entertainment,,37.1,40.14,<= 10% Deviation,,Core Measures,Maximize Earnings,71.89210989,72.58942022,99.83362628,73.26887987,38.62
kpi62,ROE,Entertainment,Entertainment,,37.1,40.14,<= 10% Deviation,,Core Measures,Optimize Risks,74.82737799,79.70300884,92.5829411,90.85453982,38.62
kpi63,CSAT,Entertainment,Entertainment,,88.73,85,>= Target,,Core Measures,Maximize Earnings,76.86427333,87.87564799,93.52023409,75.72368061,86.865
kpi64,Reductions in carbon emissions from electricity and cooling per revenue vs. 2023,Entertainment,Entertainment,,29.2,10.5,>= Target,,Core Measures,Maximize Earnings,92.08437371,97.17345251,70.39984648,98.45708287,19.85
kpi65,Sales,Land Estates,Land Estates,,790749506,486394037,>= Target,,Core Measures,Maximize Earnings,72.40758284,70.13166887,77.94548442,96.63294778,638571771.5
kpi66,Revenue,Land Estates,Land Estates,,2108675000,570046000,>= Target,,Core Measures,Maximize Earnings,89.48126478,81.18917059,71.01439721,74.15946938,1339360500
kpi67,EBITDA,Land Estates,Land Estates,,3078503000,253134000,>= Target,,Core Measures,Maximize Earnings,93.55191298,76.9758838,76.08568842,97.34559778,1665818500
kpi68,Revenue,Real Estate,Real Estate,,5940000000,4654508025,>= Target,,Core Measures,Maximize Earnings,85.10222849,86.16569231,75.93319708,98.15956212,5297254013
kpi69,EBITDA,Real Estate,Real Estate,,2350000000,1534140135,>= Target,,Core Measures,Maximize Earnings,77.16778156,83.25931769,93.871576,94.4223177,1942070068
kpi70,Carbon emission reduction from electricity & cooling,N/A,N/A,,5.71,4,>= Target,,Core Measures,Misaligned Initiatives,91.88175239,76.2164281,70.14859697,74.03324264,4.855
kpi71,Emiratization,N/A,N/A,,106,118,> 10% Deviation,,Core Measures,Misaligned Initiatives,73.03576062,76.59958695,87.14014585,80.1279544,112
kpi72,LEED certification readiness for key developments,N/A,N/A,,25,25,>= Target,,Core Measures,Misaligned Initiatives,83.92214712,86.45467391,88.08308735,70.53215369,25
kpi73,EBITDA,Hospitality,Hospitality,,738933768,753480404,<= 10% Deviation,,Core Measures,Maximize Earnings,84.12603099,94.9167738,88.17053695,70.63472959,746207086
kpi74,ROE,Hospitality,Hospitality,,3.774,4.08,<= 10% Deviation,,Core Measures,Maximize Earnings,86.36654431,97.260206,71.75842686,99.51778804,3.927
kpi75,RGI on Rooms Revenue,Hospitality,Hospitality,,141.6,142.1,<= 10% Deviation,,Core Measures,Maximize Earnings,70.89392798,77.57906816,80.16410998,86.10914689,141.85
kpi76,Closure of high-risk audit findings,N/A,N/A,,72,85,> 10% Deviation,,Core Measures,Misaligned Initiatives,90.38677932,91.70879523,72.74682994,99.89710298,78.5
kpi77,Revenue,Community Management,Community Management,,94157786.46,95127420,<= 10% Deviation,,Core Measures,Maximize Earnings,94.65707404,98.29481153,79.56509328,95.29956678,94642603.23
kpi78,EBITDA,Community Management,Community Management,,43743220,29792011.65,>= Target,,Core Measures,Maximize Earnings,80.51221375,98.20619197,97.32209294,85.41285768,36767615.83
kpi79,Service fee collection,Community Management,Community Management,,403171967,370000000,>= Target,,Core Measures,Optimize Risks,99.19057593,97.95822608,97.60661736,93.05531115,386585983.5
kpi80,Closure of high risk audit findings,N/A,N/A,,100,85,>= Target,,Core Measures,Misaligned Initiatives,93.29440997,84.68902685,90.07530819,71.22713855,92.5
kpi81,Emiratization,N/A,N/A,,24,24,>= Target,,Core Measures,Misaligned Initiatives,92.35914135,84.22121834,92.26186031,97.82420531,24
kpi82,Manpower CTC,N/A,N/A,,33760000,35890000,>= Target,,Core Measures,Misaligned Initiatives,83.22187753,98.63651459,94.03525092,72.20741988,34825000
kpi83,Cost reduction in goods and services acquisition,N/A,N/A,,3.2,6.5,> 10% Deviation,,Core Measures,Misaligned Initiatives,83.0516251,73.57635136,71.12736034,98.70210971,4.85
kpi84,Finance Service Quality as per SLA,N/A,N/A,,73,100,> 10% Deviation,,Core Measures,Misaligned Initiatives,88.34688065,81.10705938,89.32749792,92.49827009,86.5
kpi85,Increase locally supplied goods & services,N/A,N/A,,3,2.5,>= Target,,Core Measures,Misaligned Initiatives,87.9832975,96.76782324,80.01470718,79.47137391,2.75
kpi86,Closure of high risk audit findings,N/A,N/A,,85,85,>= Target,,Core Measures,Misaligned Initiatives,79.41178908,74.74710876,87.77058442,85.7093174,85
kpi87,ROE,Asset Management,Asset Management,,8.52,7.63,>= Target,,Core Measures,Maximize Earnings,79.84552376,74.33487183,93.53672835,71.12039757,8.075
kpi88,ESG screening of all investments,N/A,N/A,,100,100,>= Target,,Core Measures,Misaligned Initiatives,85.58518487,89.64442159,91.59800882,77.08313314,100
